
50000 0.011243
100000 0.021899
150000 0.0313
200000 0.037516
250000 0.047913
300000 0.058058
350000 0.068704
400000 0.079636
450000 0.090904
500000 0.101741
550000 0.113638
600000 0.124404
650000 0.136903
700000 0.145558
750000 0.156675
800000 0.170569
850000 0.179643
900000 0.193355
950000 0.205135
1000000 0.21735
1050000 0.229136
1100000 0.237928
1150000 0.254628
1200000 0.264257
1250000 0.277689
1300000 0.290112
1350000 0.303393
1400000 0.315213
1450000 0.329126
1500000 0.33933
1550000 0.349205
1600000 0.363924
1650000 0.375694
1700000 0.393778
1750000 0.401702
1800000 0.416549
1850000 0.429785
1900000 0.440989
1950000 0.456887
2000000 0.461384
2050000 0.483244
2100000 0.500417
2150000 0.518198
2200000 0.527687
2250000 0.540005
2300000 0.547775
2350000 0.559558
2400000 0.582483
2450000 0.587892
2500000 0.608935
2550000 0.623754
2600000 0.635498
2650000 0.656306
2700000 0.667005
2750000 0.684856
2800000 0.693646
2850000 0.705012
2900000 0.7327
2950000 0.745394
3000000 0.77098
3050000 0.778367
3100000 0.786122
3150000 0.8065
3200000 0.817853
3250000 0.832942
3300000 0.861
3350000 0.86825
3400000 0.886761
3450000 0.88468
3500000 0.916749
3550000 0.945734
3600000 0.94751
3650000 0.954838
3700000 0.988901
3750000 1.00102
3800000 1.0297
3850000 1.0358
3900000 1.04885
3950000 1.07254
4000000 1.08549
4050000 1.1072
4100000 1.11994
4150000 1.13616
4200000 1.15239
4250000 1.18388
4300000 1.18649
4350000 1.21232
4400000 1.21259
4450000 1.25182
4500000 1.249
4550000 1.29528
4600000 1.29025
4650000 1.31923
4700000 1.32655
4750000 1.34807
4800000 1.36851
4850000 1.37397
4900000 1.39142
4950000 1.42512
