
1500 0.0222007
3000 0.0876984
4500 0.197071
6000 0.352675
7500 0.548417
9000 0.800994
10500 1.0998
12000 1.40472
13500 1.81587
15000 2.19983
16500 2.66324
18000 3.15866
19500 3.83632
21000 4.39773
22500 4.98494
24000 5.67746
25500 6.3687
27000 7.39284
28500 8.05695
30000 8.87498
31500 9.77879
33000 10.6156
34500 11.7399
36000 13.0556
37500 13.8161
39000 14.9355
40500 16.0571
42000 17.3425
43500 18.4993
45000 19.8482
46500 21.6072
48000 22.3247
49500 23.7245
51000 25.1988
52500 26.8296
54000 32.4603
