0	5.38e-01
500	3.81e-01
1000	4.65e-01
1500	1.32e+00
2000	1.42e+00
2500	2.01e+00
3000	2.66e+00
3500	2.12e+00
4000	1.29e+00
4500	1.15e+00
5000	1.11e+00
5500	1.05e+00
6000	1.08e+00
6500	1.06e+00
7000	1.05e+00
7500	1.04e+00
8000	1.13e+00
8500	1.25e+00
9000	1.71e+00
9500	1.29e+00
10000	1.20e+00
10500	1.08e+00
11000	1.13e+00
11500	1.18e+00
12000	1.05e+00
12500	1.04e+00
13000	1.23e+00
13500	1.08e+00
14000	1.03e+00
14500	1.16e+00
15000	1.02e+00
15500	1.15e+00
16000	1.02e+00
16500	1.10e+00
17000	1.02e+00
17500	1.12e+00
18000	1.05e+00
18500	1.11e+00
19000	1.08e+00
19500	1.06e+00
20000	1.04e+00
20500	1.01e+00
21000	1.08e+00
21500	1.07e+00
22000	1.10e+00
22500	1.08e+00
23000	1.03e+00
23500	1.11e+00
24000	1.08e+00
24500	1.96e-01
25000	1.04e+00
