0	4.13e-01
500	5.86e-01
1000	2.67e-01
1500	2.68e-01
2000	2.75e-01
2500	3.61e-01
3000	2.65e-01
3500	7.36e-01
4000	1.20e+00
4500	5.96e-01
5000	6.80e-01
5500	9.00e-01
6000	6.31e-01
6500	6.75e-01
7000	8.53e-01
7500	6.99e-01
8000	9.16e-01
8500	1.83e+00
9000	4.54e+00
9500	9.72e-01
10000	9.25e-01
10500	3.25e+00
11000	1.04e+00
11500	2.91e+00
12000	3.12e+00
12500	1.74e+00
13000	3.78e+00
13500	3.14e+00
14000	1.04e+00
14500	2.90e+00
15000	4.64e+00
15500	1.23e+00
16000	1.08e+00
16500	1.20e+00
17000	1.06e+00
17500	1.16e+00
18000	1.37e+00
18500	1.23e+00
19000	1.09e+00
19500	1.11e+00
20000	1.28e+00
20500	1.13e+00
21000	1.12e+00
21500	1.16e+00
22000	1.09e+00
22500	1.07e+00
23000	1.13e+00
23500	1.18e+00
24000	1.10e+00
24500	1.19e+00
25000	1.09e+00
