0	0.9632398754
500	0.6293939827
1000	0.9590908607
1500	0.826224221
2000	1.0966290914
2500	1.0042893789
3000	1.0372167015
3500	1.074406909
4000	1.0929330665
4500	1.0101729086
5000	1.0518313407
5500	1.0630585441
6000	1.0796260438
6500	1.110600562
7000	1.3607526556
7500	1.1400309395
8000	1.0868129884
8500	1.2059153239
9000	1.11277465
9500	1.1161002376
10000	1.2266002391
10500	1.103338416
11000	1.1746642799
11500	1.1822107464
12000	1.1133456992
12500	1.2202406452
13000	1.1623265165
13500	1.1694265416
14000	1.1675073459
14500	1.229680516
15000	1.138602414
15500	1.1745995637
16000	1.1718645979
16500	1.1547801386
17000	1.1760985425
17500	1.1463546999
18000	1.117838506
18500	1.1165041786
19000	1.1119143705
19500	1.0572128391
20000	1.1051142954
20500	1.1186573595
21000	1.1201777968
21500	1.1175543798
22000	1.0786653258
22500	1.0555098296
23000	1.0887558546
23500	1.1203429503
24000	1.0561932429
24500	1.0623358094
25000	1.0369632969
