0	0,2923433875
1	0,2716049383
2	0,3807106599
3	0,3
4	0,3874538745
5	0,3613861386
6	0,390199637
7	0,3759894459
8	0,4925742574
9	0,4367647059
10	0,063513343
11	0,5804054054
12	0,6255269321
13	0,588466948
14	0,5268892182
15	0,5517020284
16	0,3620167056
17	0,481029559
18	0,5092727726
19	0,5956770718
20	0,6482439748
21	0,6826827378
22	0,6010762605
23	0,8420179996
24	0,7011958146
25	1,0354754535
26	2,5386208607
27	2,6142336664
28	2,2230469553
29	6,5999376272
30	5,7837193768
31	4,4331893778
32	3,0031568619
33	2,8049415642
34	2,7483693143
35	2,7468003594
36	3,1235382219
37	2,7286826257
38	3,1114008224
39	2,9341379696
40	2,9105457889
41	2,8902932446
42	2,8605616054
43	2,7695465066
44	2,810208406
45	2,7333324087
46	2,7447518182
47	2,5758485568
48	2,6391165696
49	2,1297253768
50	3,0281583967

